DATETIME_10M,HOST,CNT
20181103075000,hadoop02,1
20181102200000,gcs7,135
20181103012000,hadoop01,1
20181102185000,ans41,46
20181102123000,gcs4,3
20181102141000,hadoop02,1
20181102160000,KVMHost01,6
20181103080000,ans41,57
20181103081000,dn03,1
20181102092000,hadoop04,1
20181102103000,gcs3,3
20181102104000,DB-01,1
20181103022000,platform2,1424
20181102221000,KVMHost02,4
20181102223000,dn02,1
20181102120000,hadoop02,6
20181102172000,KVMHost02,8
20181102085000,tsdn-svr1,41
20181103090000,hadoop04,6
20181103091000,hadoop02,1
20181103000000,gcs7,137
20181103005000,hadoop02,1
20181103050000,ans41,58
20181103055000,hadoop02,1
20181103055000,gcs5,3
20181102233000,hadoop02,1
20181103043000,gcs1,4292
20181103025000,gcs1,4296
20181102150000,DB-01,6
20181102211000,dn02,1
20181103073000,gcs2,3
20181103080000,gcs6,27
20181102133000,gcs6,3
20181103093000,ans41,46
20181102151000,gcs5,3
20181103035000,tsdn-svr1,204
20181102124000,gcs1,4292
20181102124000,gcs6,3
20181102181000,KVMHost02,4
20181102183000,KVMHost01,1
20181102205000,gcs7,105
20181103082000,hadoop03,1
20181103085000,hadoop04,1
20181102102000,gcs2,3
20181102105000,platform2,1417
20181103091000,gcs4,3
20181102150000,KVMHost02,16
20181102201000,hadoop01,1
20181103061000,KVMHost02,4
20181102223000,gcs3,3
20181102184000,gcs5,3
20181102184000,ans41,46
20181103020000,DB-01,9
20181102172000,hadoop02,1
20181103072000,DB-01,1
20181102125000,gcs6,3
20181102234000,gcs6,3
20181102115000,KVMHost02,4
20181103024000,hadoop01,1
20181102172000,tsdn-db,148
20181102153000,dn03,1
20181102190000,KVMHost01,6
20181102091000,gcs3,3
20181102092000,hadoop03,1
20181102094000,dn03,1
20181102100000,KVMHost02,16
20181103062000,hadoop04,1
20181103063000,KVMHost02,4
20181103064000,DB-01,1
20181102122000,hadoop04,1
20181102124000,gcs4,3
20181103073000,hadoop02,1
20181102144000,gcs3,3
20181102131000,hadoop03,1
20181103031000,tsdn-db,162
20181102163000,gcs5,3
20181103081000,platform2,1412
20181102194000,DB-01,1
20181102194000,dn02,1
20181102161000,gcs2,3
20181102122000,dn02,1
20181102135000,gcs5,3
20181102201000,DB-01,1
20181102233000,dn03,1
20181102091000,DB-01,1
20181102115000,platform2,1418
20181102104000,dn03,1
20181102150000,hadoop01,6
20181103015000,gcs5,3
20181102091000,hadoop04,1
20181102094000,gcs1,4315
20181102100000,hadoop04,6
20181103070000,platform2,1436
20181102205000,DB-01,1
20181102231000,gcs5,3
20181102220000,gcs1,4366
20181102161000,KVMHost02,4
20181102113000,gcs6,3
20181103005000,KVMHost02,4
20181102131000,gcs1,4326
20181102123000,gcs5,3
20181102182000,hadoop03,1
20181103073000,ans41,46
20181103024000,gcs4,3
20181102175000,gcs1,4386
20181102213000,hadoop01,1
20181102083000,ans41,46
20181102084000,gcs3,3
20181103012000,gcs4,3
20181103085000,tsdn-db,187
20181103041000,KVMHost02,4
20181103053000,gcs1,4325
20181102153000,ans41,46
20181102120000,tsdn-svr1,76
20181102120000,gcs7,135
20181102203000,gcs7,105
20181102231000,platform2,1418
20181102101000,hadoop02,1
20181102224000,gcs7,105
20181102113000,KVMHost01,1
20181102114000,gcs5,5
20181102092000,KVMHost02,8
20181102094000,hadoop02,1
20181102141000,DB-01,1
20181102144000,hadoop02,1
20181103014000,gcs2,3
20181103015000,gcs6,3
20181102174000,platform2,1417
20181103050000,gcs5,24
20181102134000,gcs7,105
20181103031000,gcs4,3
20181103032000,gcs3,3
20181103051000,KVMHost01,1
20181102200000,tsdn-svr1,1231
20181103003000,gcs5,3
20181102095000,tsdn-db,153
20181102113000,dn02,1
20181102114000,dn03,1
20181102115000,gcs1,4292
20181102175000,gcs2,3
20181102182000,gcs3,3
20181102082000,hadoop01,1
20181103043000,DB-01,1
20181103000000,hadoop01,9
20181102101000,gcs5,3
20181102223000,gcs6,3
20181102163000,dn03,1
20181103052000,tsdn-svr1,285
20181103085000,gcs2,3
20181102131000,gcs6,3
20181103010000,gcs5,26
20181103015000,gcs2,3
20181103041000,gcs4,3
20181102212000,gcs3,3
20181102161000,KVMHost01,1
20181103053000,gcs7,105
20181102141000,gcs4,3
20181103004000,gcs2,3
20181102124000,hadoop01,1
20181102112000,DB-01,1
20181102094000,tsdn-svr1,261
20181102183000,gcs1,4335
20181102103000,platform2,1388
20181102204000,tsdn-db,149
20181102204000,platform2,1418
20181102172000,hadoop03,1
20181103014000,hadoop03,1
20181103015000,dn02,1
20181102173000,hadoop02,1
20181102084000,ans41,46
20181102085000,gcs2,3
20181102092000,gcs3,3
