PARTITION_DATE,AGENT_ID,HOST,BLOCKED,DEAD,IDLE,PAGING,RUNNING,SLEEPING,STOPPED,TOTAL,TOTAL_THREADS,UNKNOWN,ZOMBIES
20181102140000,iris-d03_023,iris-d03,,,,,,437.0,,437.0,1172.0,,
20181102140010,iris-d03_023,iris-d03,,,,,,438.0,,438.0,1165.0,,
20181102140020,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1166.0,,
20181102140030,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1176.0,,
20181102140040,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1167.0,,
20181102140050,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1167.0,,
20181102140100,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1171.0,,
20181102140110,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1167.0,,
20181102140120,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1162.0,,
20181102140130,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1167.0,,
20181102140140,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1171.0,,
20181102140150,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1166.0,,
20181102140200,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1164.0,,
20181102140210,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1166.0,,
20181102140220,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1164.0,,
20181102140230,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1165.0,,
20181102140240,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1155.0,,
20181102140250,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1159.0,,
20181102140300,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1157.0,,
20181102140310,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1157.0,,
20181102140320,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1157.0,,
20181102140330,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1166.0,,
20181102140000,iris-d02_022,iris-d02,,,,,,202.0,,202.0,303.0,,
20181102140340,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1163.0,,
20181102140010,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140350,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1161.0,,
20181102140020,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140400,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1162.0,,
20181102140030,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140410,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1162.0,,
20181102140040,iris-d02_022,iris-d02,,,,,1.0,202.0,,203.0,304.0,,
20181102140420,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1161.0,,
20181102140050,iris-d02_022,iris-d02,,,,,,203.0,,203.0,304.0,,
20181102140430,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1158.0,,
20181102140100,iris-d02_022,iris-d02,,,,,,203.0,,203.0,304.0,,
20181102140440,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1159.0,,
20181102140110,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140450,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1158.0,,
20181102140120,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140500,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1162.0,,
20181102140130,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140510,iris-d03_023,iris-d03,,,,,1.0,437.0,,438.0,1162.0,,
20181102140140,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140520,iris-d03_023,iris-d03,,,,,1.0,437.0,,438.0,1158.0,,
20181102140150,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140530,iris-d03_023,iris-d03,,,,,,437.0,,437.0,1154.0,,
20181102140200,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140540,iris-d03_023,iris-d03,,,,,,437.0,,437.0,1153.0,,
20181102140000,gaia-slave1_002,gaia-slave1,,,,,,283.0,,291.0,2059.0,,8.0
20181102140210,iris-d02_022,iris-d02,,,,,1.0,202.0,,203.0,302.0,,
20181102140550,iris-d03_023,iris-d03,,,,,,438.0,,438.0,1156.0,,
20181102140010,gaia-slave1_002,gaia-slave1,,,,,,286.0,,294.0,2062.0,,8.0
20181102140220,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140000,nv-acc-01_015,nv-acc-01,,,,,1.0,332.0,,333.0,1100.0,,
20181102140600,iris-d03_023,iris-d03,,,,,,438.0,,438.0,1153.0,,
20181102140000,gaia-slave2_003,gaia-slave2,,,,,,202.0,,209.0,1910.0,,7.0
20181102140020,gaia-slave1_002,gaia-slave1,,,,,,286.0,,294.0,2062.0,,8.0
20181102140230,iris-d02_022,iris-d02,,,,,1.0,202.0,,203.0,303.0,,
20181102140010,nv-acc-01_015,nv-acc-01,,,,,1.0,332.0,,333.0,1102.0,,
20181102140610,iris-d03_023,iris-d03,,,,,,438.0,,438.0,1162.0,,
20181102140000,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102140010,gaia-slave2_003,gaia-slave2,,,,,,203.0,,210.0,1911.0,,7.0
20181102140030,gaia-slave1_002,gaia-slave1,,,,,,286.0,,294.0,2062.0,,8.0
20181102140240,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140020,nv-acc-01_015,nv-acc-01,,,,,,333.0,,333.0,1102.0,,
20181102140620,iris-d03_023,iris-d03,,,,,,438.0,,438.0,1159.0,,
20181102140010,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102140020,gaia-slave2_003,gaia-slave2,,,,,,203.0,,210.0,1911.0,,7.0
20181102140040,gaia-slave1_002,gaia-slave1,,,,,,286.0,,294.0,2062.0,,8.0
20181102140250,iris-d02_022,iris-d02,,,,,,203.0,,203.0,304.0,,
20181102140030,nv-acc-01_015,nv-acc-01,,,,,1.0,332.0,,333.0,1103.0,,
20181102140630,iris-d03_023,iris-d03,,,,,,438.0,,438.0,1168.0,,
20181102140000,demo_data_02,gcs3,,,,,,299.0,,299.0,696.0,,
20181102140000,demo_data_01,gcs2,,,,,,308.0,,308.0,803.0,,
20181102140000,demo_data_03,gcs4,,,,,,300.0,,300.0,725.0,,
20181102140000,demo_data_07,mhost6,,,,,,415.0,,415.0,1022.0,,
20181102140000,demo_data_06,gcs7,,,,,,307.0,,307.0,729.0,,
20181102140000,demo_data_09,iris-m01,,,,,1.0,407.0,,408.0,929.0,,
20181102140000,demo_data_08,mhost7,,,,,,419.0,,419.0,1141.0,,
20181102140000,demo_data_04,gcs5,,,,,,313.0,,313.0,807.0,,
20181102140000,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102140000,demo_data_05,gcs6,,,,,,293.0,,293.0,661.0,,
20181102140020,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102140030,gaia-slave2_003,gaia-slave2,,,,,,203.0,,210.0,1911.0,,7.0
20181102140050,gaia-slave1_002,gaia-slave1,,,,,,286.0,,294.0,2062.0,,8.0
20181102140300,iris-d02_022,iris-d02,,,,,,203.0,,203.0,303.0,,
20181102140040,nv-acc-01_015,nv-acc-01,,,,,,333.0,,333.0,1102.0,,
20181102140640,iris-d03_023,iris-d03,,,,,,438.0,,438.0,1167.0,,
