DATETIME_10M,CNT
20181103050000,1412
20181102114000,1417
20181103084000,1388
20181102151000,1417
20181102204000,1418
20181103091000,1388
20181102214000,1417
20181102095000,1441
20181102173000,1400
20181103025000,1417
20181102131000,1418
20181102083000,1418
20181102223000,1388
20181103040000,1414
20181102234000,1418
20181103005000,1417
20181102171000,1418
20181103003000,1389
20181102082000,1388
20181102235000,1448
20181102215000,1418
20181102152000,1418
20181102162000,1418
20181102084000,1441
20181102132000,1441
20181102144000,1417
20181102183000,1389
20181102160000,1412
20181103023000,1388
20181102104000,1418
20181102153000,1388
20181102085000,1418
20181103041000,1417
20181102105000,1417
20181102221000,1417
20181102143000,1413
20181103090000,1441
20181102164000,1418
20181102175000,1419
20181103000000,1414
20181103020000,1414
20181103070000,1436
20181103031000,1426
20181103043000,1407
20181103021000,1435
20181103081000,1412
20181103032000,1435
20181103053000,1388
20181102113000,1389
20181102205000,1417
20181102180000,1437
20181102184000,1417
20181102122000,1419
20181102210000,1413
20181102115000,1418
20181102092000,1418
20181103060000,1412
20181102150000,1413
20181102211000,1417
20181102201000,1418
20181102141000,1418
20181103001000,1418
20181102145000,1417
20181103042000,1417
20181102172000,1425
20181102203000,1388
20181103034000,1418
20181103002000,1417
20181102134000,1418
20181103065000,1417
20181103014000,1487
20181103092000,1443
20181103011000,1487
20181103012000,1488
20181102081000,1417
20181102200000,1412
20181102233000,1388
20181102094000,1418
20181103061000,1418
20181102222000,1420
20181102190000,1412
20181102191000,1443
20181102142000,1417
20181103015000,1488
20181102123000,1388
20181102212000,1417
20181103072000,1417
20181102165000,1446
20181103024000,1418
20181102091000,1428
20181102230000,1412
20181102124000,1417
20181103055000,1442
20181102130000,1412
20181102101000,1418
20181102125000,1418
20181103083000,1417
20181102112000,1418
20181103093000,1417
20181102170000,1430
20181103075000,1417
20181102110000,1437
20181103052000,1418
20181103085000,1418
20181102080000,1355
20181103080000,1442
20181102225000,1418
20181102202000,1441
20181103063000,1388
20181102103000,1388
20181103022000,1424
20181102154000,1441
20181102213000,1413
20181102090000,1412
20181102163000,1388
20181102193000,1388
20181103044000,1423
20181102102000,1417
20181103071000,1418
20181103030000,1413
20181103073000,1418
20181102231000,1418
20181102100000,1412
20181102181000,1418
20181103051000,1417
20181102155000,1418
20181103004000,1417
20181103074000,1388
20181102111000,1417
20181102174000,1417
20181103013000,1458
20181102192000,1418
20181103054000,1417
20181102140000,1412
20181102194000,1418
20181103045000,1418
20181102185000,1418
20181102232000,1417
20181102093000,1388
20181102121000,1442
20181103010000,1509
20181102161000,1417
20181102120000,1412
20181103082000,1418
20181102133000,1388
20181103062000,1417
20181103033000,1394
20181103064000,1418
20181102224000,1441
20181102182000,1417
20181102135000,1417
20181103035000,1417
20181102220000,1412
20181102195000,1417
