DATETIME,RAW,HOST,FACILITY,PRIORITY,LEVEL,LEVEL_INT,TAG,PROGRAM,MSG
20181109141101,20181109141101 | gcs1 | daemon | info | info | 1e | systemd | Started Session 3109283 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Started Session 3109283 of user wf.
20181109141101,20181109141101 | gcs1 | daemon | info | info | 1e | systemd | Starting Session 3109283 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Starting Session 3109283 of user wf.
20181109141101,20181109141101 | gcs1 | daemon | info | info | 1e | systemd | Started Session 3109284 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Started Session 3109284 of user wf.
20181109141101,20181109141101 | gcs1 | daemon | info | info | 1e | systemd | Starting Session 3109284 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Starting Session 3109284 of user wf.
20181109141101,20181109141101 | gcs1 | cron | info | info | 4e | CROND | (wf) CMD (bash -l -c ''/home/wf/WorkFlowEngine/WorkFlow/bin/wf job control act --job_id j1 > /dev/null 2> /dev/null''),gcs1,cron,info,info,7.0,4e,CROND,(wf) CMD (bash -l -c ''/home/wf/WorkFlowEngine/WorkFlow/bin/wf job control act --job_id j1 > /dev/null 2> /dev/null'')
20181109141101,20181109141101 | gcs1 | cron | info | info | 4e | CROND | (wf) CMD (bash -l -c ''/home/wf/WorkFlowEngine/WorkFlow/bin/wf job control act --job_id j2 > /dev/null 2> /dev/null''),gcs1,cron,info,info,7.0,4e,CROND,(wf) CMD (bash -l -c ''/home/wf/WorkFlowEngine/WorkFlow/bin/wf job control act --job_id j2 > /dev/null 2> /dev/null'')
20181109141101,20181109141101 | gcs7 | daemon | info | info | 1e | systemd | Created slice user-1005.slice.,gcs7,daemon,info,info,7.0,1e,systemd,Created slice user-1005.slice.
20181109141101,20181109141101 | gcs7 | daemon | info | info | 1e | systemd | Starting user-1005.slice.,gcs7,daemon,info,info,7.0,1e,systemd,Starting user-1005.slice.
20181109141101,20181109141101 | gcs7 | daemon | info | info | 1e | systemd | Started Session 237238 of user anhm.,gcs7,daemon,info,info,7.0,1e,systemd,Started Session 237238 of user anhm.
20181109141101,20181109141101 | gcs7 | daemon | info | info | 1e | systemd | Starting Session 237238 of user anhm.,gcs7,daemon,info,info,7.0,1e,systemd,Starting Session 237238 of user anhm.
20181109141101,20181109141101 | gcs7 | cron | info | info | 4e | CROND | (anhm) CMD (/home/anhm/dev/get_data.py /home/anhm/dev/data 2> /dev/null > /dev/null),gcs7,cron,info,info,7.0,4e,CROND,(anhm) CMD (/home/anhm/dev/get_data.py /home/anhm/dev/data 2> /dev/null > /dev/null)
20181109141102,20181109141102 | gcs1 | kern | info | info | 06 | python | detected unhandled Python exception in ''/home/wf/WorkFlowEngine/WorkFlow/program/log_engine/NETLOG/Collector.py'',gcs1,kern,info,info,7.0,06,python,detected unhandled Python exception in ''/home/wf/WorkFlowEngine/WorkFlow/program/log_engine/NETLOG/Collector.py''
20181109141102,20181109141102 | gcs1 | kern | info | info | 06 | python | can''t communicate with ABRT daemon, is it running? [Errno 2] No such file or directory,gcs1,kern,info,info,7.0,06,python,can''t communicate with ABRT daemon, is it running? [Errno 2] No such file or directory
20181109141103,20181109141103 | gcs1 | auth | info | info | 26 | systemd-logind | New session 3109285 of user wf.,gcs1,auth,info,info,7.0,26,systemd-logind,New session 3109285 of user wf.
20181109141103,20181109141103 | gcs1 | daemon | info | info | 1e | systemd | Started Session 3109285 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Started Session 3109285 of user wf.
20181109141103,20181109141103 | gcs1 | daemon | info | info | 1e | systemd | Starting Session 3109285 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Starting Session 3109285 of user wf.
20181109141104,20181109141104 | gcs1 | auth | info | info | 26 | systemd-logind | Removed session 3109285.,gcs1,auth,info,info,7.0,26,systemd-logind,Removed session 3109285.
20181109141109,20181109141109 | gcs1 | auth | info | info | 26 | systemd-logind | New session 3109286 of user wf.,gcs1,auth,info,info,7.0,26,systemd-logind,New session 3109286 of user wf.
20181109141109,20181109141109 | gcs1 | daemon | info | info | 1e | systemd | Started Session 3109286 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Started Session 3109286 of user wf.
20181109141109,20181109141109 | gcs1 | daemon | info | info | 1e | systemd | Starting Session 3109286 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Starting Session 3109286 of user wf.
20181109141109,20181109141109 | gcs1 | auth | info | info | 26 | systemd-logind | Removed session 3109286.,gcs1,auth,info,info,7.0,26,systemd-logind,Removed session 3109286.
20181109141112,20181109141112 | tsdn-db | kern | warning | warning | 04 | kernel | ACPI Error: SMBus/IPMI/GenericSerialBus write requires Buffer of length 66, found length 32 (20130517/exfield-389),tsdn-db,kern,warning,warning,5.0,04,kernel,ACPI Error: SMBus/IPMI/GenericSerialBus write requires Buffer of length 66, found length 32 (20130517/exfield-389)
